Descr.breve:;;14;
Descr.lunga:;;P.Dante - Via Sanseverino - Belvedere Ravina;
Validità:;;ORARIO Trento Estate 2017   Valido dal 10/06/2017 al 10/09/2017;
Orario:;;ORARIO FERIALE;
Frequenza:;;;Feriale solo il Sabato;
Linea:;;Linea 12;Linea 12;;;;;;;;;;;;;;;;Linea 12;Linea 12;Linea 12;
Servizio:;;
gtfs trip_id;;;;0002829632017061020170910;0002826832017061020170910;0002826892017061020170910;0002826902017061020170910;0002826912017061020170910;0002826922017061020170910;0002826932017061020170910;0002826842017061020170910;0002826942017061020170910;0002826952017061020170910;0002826962017061020170910;0002826852017061020170910;0002826862017061020170910;0002826872017061020170910;0002826882017061020170910;;;;
smartplanner route_id;;;;14R;14A;14A;14A;14A;14A;14A;14A;14A;14A;14A;14A;14A;14A;14A;;;;
service_id;;;;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;0000000022017061020170910;;;;
stops;stop_id;;;0002829632017061020170910;0002826832017061020170910;0002826892017061020170910;0002826902017061020170910;0002826912017061020170910;0002826922017061020170910;0002826932017061020170910;0002826842017061020170910;0002826942017061020170910;0002826952017061020170910;0002826962017061020170910;0002826852017061020170910;0002826862017061020170910;0002826872017061020170910;0002826882017061020170910;;;;
Piazza Dante "Stazione Fs";247;;;;07:30;08:35;09:35;10:35;11:35;12:35;13:35;14:35;15:35;16:35;17:35;18:35;19:35;20:35;;;;
Rosmini S.Maria Maggiore;407;;;;07:32;08:37;09:37;10:37;11:37;12:37;13:37;14:37;15:37;16:37;17:37;18:37;19:37;20:37;;;;
Rosmini "Cimitero" / Muse;404;;;;07:34;08:39;09:39;10:39;11:39;12:39;13:39;14:39;15:39;16:39;17:39;18:39;19:39;20:39;;;;
Giusti Pascoli;348;;;;07:35;08:40;09:40;10:40;11:40;12:40;13:40;14:40;15:40;16:40;17:40;18:40;19:40;20:40;;;;
Muredei Prati;393;;;;07:37;08:42;09:42;10:42;11:42;12:42;13:42;14:42;15:42;16:42;17:42;18:42;19:42;20:42;;;;
Muredei Benevoli;395;;;;07:38;08:43;09:43;10:43;11:43;12:43;13:43;14:43;15:43;16:43;17:43;18:43;19:43;20:43;;;;
Al Desert Muredei;265;;;;07:39;08:44;09:44;10:44;11:44;12:44;13:44;14:44;15:44;16:44;17:44;18:44;19:44;20:44;;;;
Al Desert Ragazzi Del '99;267;;;;07:40;08:45;09:45;10:45;11:45;12:45;13:45;14:45;15:45;16:45;17:45;18:45;19:45;20:45;;;;
Tanzengiale Ovest Pezcoller;173;;;;07:41;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;;;;
Sanseverino S.Nicolò;417;;;;07:42;08:47;09:47;10:47;11:47;12:47;13:47;14:47;15:47;16:47;17:47;18:47;19:47;20:47;;;;
Ponte di Ravina;2497;;;;07:44;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;;;;
Ravina Del Ponte;200;;;07:02;07:45;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;;;;
Ravina Della Croce;2437;;;07:03;07:46;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;;;;
Ravina Chiesa;196;;;07:03;07:46;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;;;;
Ravina Per Belvedere;198;;;07:04;07:47;08:52;09:52;10:52;11:52;12:52;13:52;14:52;15:52;16:52;17:52;18:52;19:52;20:52;;;;
Belvedere;3;;;07:05;07:48;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;;;;
*Ravina Per Belvedere;199;;;07:05;;;;;;;;;;;;;;;;;;
*Ravina Piazza;197;;;07:06;;;;;;;;;;;;;;;;;;
*Ravina Masere;193;;;07:07;;;;;;;;;;;;;;;;;;
*Ravina Del Ponte;201;;;07:08;;;;;;;;;;;;;;;;;;
*Monte Baldo Ghiaie;392;;;07:13;;;;;;;;;;;;;;;;;;
*Largo Prati;449;;;07:13;;;;;;;;;;;;;;;;;;
*Bezzi Filzi;283;;;07:15;;;;;;;;;;;;;;;;;;
*Giusti "Arcivescovile";349;;;07:16;;;;;;;;;;;;;;;;;;
*Rosmini "Cimitero";405;;;07:17;;;;;;;;;;;;;;;;;;
*Piazza Dante "Pal. Regione";202;;;07:22;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
